CCTV수
597
35
12
7
20
23
88
73
70
79
105
298
95
143
107
88
3171
649
10
14
12
59
19
40
84
58
45
69
68
51
110
58
161
109
5
10
4
17
29
29
63
44
39
46
57
143
26
149
3
4
4
10
26
28
71
41
50
40
56
16
12
17
10
15
24
69
87
228
147
153
123
354
222
105
289
72
42
60
12
87
65
55
20
59
18
56
28
7
17
24
88
117
136
82
76
134
145
286
95
33
1
3
6
6
2
15
16
32
16
48
95
58
52
45
2
54
45
56
55
82
13
29
40
377
16
1
1005
257
13
2
501
